miRNA	PositionUTR	seedmatch	context++score	context++scorepercentile	weightedcontext++score	conservedbranchlength	Pct
hsa-miR-873-5p.1	1193-1199	7mer-1A	-0.01	 56	-0.01	0.547	N/A
hsa-miR-181c-3p	1198-1204	7mer-1A	-0.09	 77	-0.08	0.000	N/A
hsa-miR-486-5p	1202-1209	8mer	-0.10	 88	-0.09	1.647	N/A
hsa-miR-7152-5p	1204-1211	8mer	-0.03	 64	-0.03	0.000	N/A
hsa-miR-3074-5p	1205-1211	7mer-1A	-0.01	 46	-0.01	0.223	N/A
hsa-miR-3124-3p	1206-1212	7mer-m8	-0.02	 37	-0.02	0.000	N/A
hsa-miR-27b-5p	1210-1216	7mer-1A	-0.05	 44	-0.05	0.031	N/A
hsa-miR-4663	1212-1218	7mer-m8	-0.15	 89	-0.13	0.137	N/A
hsa-miR-3129-5p	1218-1224	7mer-1A	-0.05	 69	-0.04	3.491	0.48
hsa-miR-199a-3p	1218-1224	7mer-1A	-0.08	 67	-0.07	3.491	0.48
hsa-miR-199b-3p	1218-1224	7mer-1A	-0.08	 67	-0.07	3.491	0.48
hsa-miR-936	1218-1224	7mer-1A	-0.09	 61	-0.07	0.016	N/A
hsa-miR-222-5p	1218-1224	7mer-m8	-0.06	 59	-0.05	0.000	N/A
hsa-miR-548c-3p	1223-1229	7mer-m8	-0.02	 84	-0.02	0.170	N/A
hsa-miR-4719	1227-1233	7mer-1A	-0.01	 38	-0.01	0.000	N/A
hsa-miR-551b-5p	1231-1237	7mer-1A	-0.01	 49	-0.01	0.031	N/A
hsa-miR-4799-5p	1233-1240	8mer	-0.03	 72	-0.03	0.000	N/A
hsa-miR-3168	1236-1242	7mer-m8	-0.02	 49	-0.02	0.000	N/A
hsa-miR-4277	1237-1243	7mer-m8	-0.09	 86	-0.08	0.159	N/A
hsa-miR-582-5p	1239-1245	7mer-m8	-0.03	 58	-0.03	0.865	N/A
hsa-miR-6719-3p	1245-1252	8mer	-0.08	 77	-0.07	0.000	N/A
hsa-miR-3660	1246-1252	7mer-1A	-0.05	 60	-0.05	0.170	N/A
hsa-miR-6730-3p	1246-1252	7mer-1A	-0.03	 57	-0.02	0.000	N/A
hsa-miR-4526	1246-1252	7mer-1A	-0.01	 45	-0.01	0.170	N/A
hsa-miR-654-3p	1249-1255	7mer-m8	-0.05	 61	-0.04	0.043	N/A
hsa-miR-4764-5p	1252-1258	7mer-1A	-0.06	 46	-0.05	0.000	N/A
hsa-miR-490-5p	1254-1260	7mer-m8	-0.02	 37	-0.02	0.239	N/A
hsa-miR-4802-3p	1255-1261	7mer-m8	-0.07	 67	-0.06	0.223	N/A
hsa-miR-520d-5p	1261-1267	7mer-1A	-0.01	 52	-0.01	0.031	N/A
hsa-miR-524-5p	1261-1267	7mer-1A	-0.01	 51	-0.01	0.031	N/A
hsa-miR-4703-3p	1268-1274	7mer-1A	-0.02	 23	-0.02	0.000	N/A
hsa-miR-511-3p	1271-1277	7mer-m8	-0.02	 25	-0.02	0.243	N/A
hsa-miR-4764-5p	1273-1279	7mer-m8	-0.14	 71	-0.12	0.000	N/A
hsa-miR-6757-5p	1275-1282	8mer	-0.21	 88	-0.18	0.000	N/A
hsa-miR-3162-5p	1277-1283	7mer-1A	-0.10	 58	-0.08	0.000	N/A
hsa-miR-618	1293-1299	7mer-m8	-0.02	 31	-0.02	0.043	N/A
hsa-miR-3152-3p	1300-1306	7mer-1A	-0.08	 69	-0.07	0.223	N/A
hsa-miR-581	1302-1308	7mer-m8	-0.15	 86	-0.13	0.250	N/A
hsa-miR-8083	1306-1312	7mer-m8	-0.03	 53	-0.03	0.000	N/A
hsa-miR-4700-3p	1308-1314	7mer-m8	-0.11	 85	-0.10	0.000	N/A
hsa-miR-513a-5p	1310-1317	8mer	-0.18	 92	-0.15	0.043	N/A
hsa-miR-27b-3p	1311-1317	7mer-1A	-0.05	 66	-0.04	1.037	< 0.1
hsa-miR-27a-3p	1311-1317	7mer-1A	-0.05	 66	-0.04	1.037	< 0.1
hsa-miR-3185	1319-1325	7mer-1A	-0.01	 35	-0.01	0.000	N/A
hsa-miR-4709-5p	1325-1332	8mer	-0.12	 88	-0.11	0.000	N/A
hsa-miR-421	1326-1333	8mer	-0.20	 93	-0.17	0.134	N/A
hsa-miR-505-3p.2	1327-1333	7mer-1A	-0.01	 46	-0.01	0.289	N/A
hsa-miR-7159-5p	1327-1333	7mer-1A	-0.02	 28	-0.01	0.000	N/A
hsa-miR-1305	1328-1335	8mer	-0.09	 94	-0.08	0.000	N/A
hsa-miR-4775	1332-1338	7mer-m8	-0.02	 47	-0.02	0.000	N/A
hsa-miR-590-3p	1332-1338	7mer-1A	-0.01	 34	-0.01	0.043	N/A
hsa-miR-5692a	1335-1341	7mer-m8	-0.02	 73	-0.02	0.000	N/A
hsa-miR-138-2-3p	1348-1354	7mer-1A	-0.01	 48	-0.01	0.000	N/A
hsa-miR-4482-3p	1349-1355	7mer-m8	-0.02	 51	-0.02	0.000	N/A
hsa-miR-5681a	1366-1372	7mer-m8	-0.06	 67	-0.05	0.223	N/A
hsa-miR-8064	1374-1380	7mer-1A	-0.09	 72	-0.08	0.000	N/A
hsa-miR-8081	1400-1406	7mer-1A	-0.04	 61	-0.04	0.000	N/A
hsa-miR-8055	1401-1407	7mer-1A	-0.01	 43	-0.01	0.000	N/A
hsa-miR-2052	1402-1408	7mer-m8	-0.09	 75	-0.08	0.000	N/A
hsa-miR-4474-3p	1424-1431	8mer	-0.31	 95	-0.26	0.000	N/A
hsa-miR-7108-5p	1425-1431	7mer-1A	-0.05	 68	-0.04	0.137	N/A
hsa-miR-581	1427-1433	7mer-1A	-0.05	 61	-0.04	0.250	N/A
hsa-miR-578	1428-1435	8mer	-0.17	 93	-0.15	0.316	N/A
hsa-miR-513c-3p	1432-1438	7mer-m8	-0.02	 78	-0.02	0.000	N/A
hsa-miR-513a-3p	1432-1438	7mer-m8	-0.02	 78	-0.02	0.000	N/A
hsa-miR-3606-3p	1432-1438	7mer-m8	-0.02	 78	-0.02	0.000	N/A
hsa-miR-551b-5p	1437-1443	7mer-m8	-0.02	 62	-0.02	0.322	N/A
hsa-miR-5680	1440-1446	7mer-1A	-0.01	 53	-0.01	0.000	N/A
hsa-miR-5585-3p	1444-1451	8mer	-0.16	 94	-0.14	0.000	N/A
hsa-miR-588	1453-1460	8mer	-0.27	 96	-0.23	0.016	N/A
hsa-miR-4701-5p	1453-1460	8mer	-0.25	 96	-0.22	0.016	N/A
hsa-miR-548s	1454-1460	7mer-1A	-0.12	 82	-0.10	0.000	N/A
hsa-miR-3187-3p	1454-1460	7mer-1A	-0.05	 69	-0.04	0.000	N/A
hsa-miR-4435	1454-1460	7mer-1A	-0.07	 63	-0.06	0.000	N/A
hsa-miR-5692a	1461-1467	7mer-m8	-0.02	 73	-0.02	0.000	N/A
hsa-miR-4719	1464-1470	7mer-m8	-0.08	 89	-0.07	0.000	N/A
hsa-miR-4731-3p	1466-1472	7mer-1A	-0.08	 86	-0.07	0.000	N/A
hsa-miR-4801	1466-1472	7mer-1A	-0.05	 75	-0.04	0.000	N/A
hsa-miR-4672	1467-1473	7mer-1A	-0.12	 85	-0.10	0.000	N/A
hsa-miR-466	1467-1473	7mer-1A	-0.08	 81	-0.07	0.000	N/A
hsa-miR-3941	1467-1473	7mer-1A	-0.02	 57	-0.02	0.223	N/A
hsa-miR-6504-3p	1469-1475	7mer-1A	-0.01	 37	-0.01	0.000	N/A
hsa-miR-4482-3p	1472-1479	8mer	-0.03	 67	-0.03	0.000	N/A
hsa-miR-7159-3p	1473-1479	7mer-1A	-0.01	 54	-0.01	0.000	N/A
hsa-miR-4328	1477-1484	8mer	-0.10	 88	-0.08	0.000	N/A
hsa-miR-30e-3p	1480-1487	8mer	-0.13	 91	-0.11	0.364	N/A
hsa-miR-30a-3p	1480-1487	8mer	-0.11	 90	-0.09	0.364	N/A
hsa-miR-30d-3p	1480-1487	8mer	-0.11	 89	-0.09	0.364	N/A
hsa-miR-376a-5p	1486-1492	7mer-1A	-0.06	 85	-0.05	0.031	N/A
hsa-miR-4760-5p	1486-1492	7mer-m8	-0.09	 81	-0.07	0.000	N/A
hsa-miR-8061	1486-1492	7mer-m8	-0.08	 79	-0.07	0.000	N/A
hsa-miR-889-3p	1492-1498	7mer-1A	-0.01	 47	-0.01	0.164	N/A
hsa-miR-587	1502-1508	7mer-m8	-0.05	 66	-0.04	0.016	N/A
hsa-miR-656-3p	1513-1519	7mer-1A	-0.01	 39	-0.01	0.187	N/A
hsa-miR-1277-5p	1515-1521	7mer-m8	-0.02	 53	-0.02	0.000	N/A
hsa-miR-548c-3p	1519-1525	7mer-1A	-0.01	 57	-0.01	0.170	N/A
hsa-miR-3163	1521-1527	7mer-1A	-0.01	 45	-0.01	0.000	N/A
hsa-miR-5583-5p	1529-1535	7mer-1A	-0.06	 81	-0.05	0.000	N/A
hsa-miR-3129-3p	1529-1535	7mer-1A	-0.02	 60	-0.02	0.000	N/A
hsa-miR-4738-3p	1537-1543	7mer-1A	-0.09	 82	-0.08	0.000	N/A
hsa-miR-4766-5p	1539-1545	7mer-1A	-0.01	 43	-0.01	0.239	N/A
hsa-miR-3200-5p	1541-1547	7mer-1A	-0.08	 75	-0.07	0.000	N/A
hsa-miR-190a-3p	1545-1551	7mer-m8	-0.02	 40	-0.02	0.322	N/A
hsa-miR-5011-5p	1545-1551	7mer-1A	-0.01	 24	-0.01	0.000	N/A
hsa-miR-5011-5p	1546-1552	7mer-m8	-0.02	 37	-0.02	0.000	N/A
hsa-miR-4517	1552-1558	7mer-m8	-0.02	 39	-0.02	0.000	N/A
hsa-miR-3606-5p	1563-1570	8mer	-0.07	 53	-0.06	0.000	N/A
hsa-miR-921	1564-1570	7mer-1A	-0.06	 52	-0.05	0.000	N/A
hsa-miR-7977	1572-1578	7mer-1A	-0.01	 33	-0.01	0.000	N/A
hsa-miR-6734-3p	1574-1580	7mer-m8	-0.15	 84	-0.13	0.000	N/A
hsa-miR-5088-3p	1576-1582	7mer-1A	-0.01	 23	-0.01	0.000	N/A
hsa-miR-4755-5p	1577-1583	7mer-m8	-0.02	 46	-0.02	0.000	N/A
hsa-miR-5006-3p	1577-1583	7mer-m8	-0.02	 46	-0.02	0.000	N/A
hsa-miR-623	1577-1583	7mer-1A	-0.01	 30	-0.01	0.000	N/A
hsa-miR-6734-3p	1579-1585	7mer-m8	-0.13	 80	-0.11	0.000	N/A
hsa-miR-6886-3p	1581-1587	7mer-m8	-0.19	 84	-0.16	0.000	N/A
hsa-miR-6779-3p	1583-1589	7mer-1A	-0.14	 83	-0.12	0.226	N/A
hsa-miR-4687-5p	1583-1589	7mer-1A	-0.10	 80	-0.08	0.000	N/A
hsa-miR-17-3p	1589-1595	7mer-m8	-0.02	 48	-0.02	1.013	N/A
hsa-miR-9-3p	1594-1600	7mer-m8	-0.02	 35	-0.02	0.910	N/A
hsa-miR-4495	1597-1603	7mer-m8	-0.02	 30	-0.02	0.000	N/A
hsa-miR-4666b	1600-1607	8mer	-0.15	 85	-0.13	0.159	N/A
hsa-miR-5011-3p	1601-1607	7mer-1A	-0.01	 40	-0.01	0.223	N/A
hsa-miR-1250-3p	1614-1620	7mer-1A	-0.01	 46	-0.01	0.000	N/A
hsa-miR-153-5p	1614-1620	7mer-1A	-0.01	 33	-0.01	0.031	N/A
hsa-miR-4666a-3p	1633-1639	7mer-1A	-0.02	 59	-0.01	0.000	N/A
hsa-let-7b-3p	1633-1639	7mer-m8	-0.02	 36	-0.02	0.743	N/A
hsa-let-7a-3p	1633-1639	7mer-m8	-0.02	 35	-0.02	0.743	N/A
hsa-miR-98-3p	1633-1639	7mer-m8	-0.02	 35	-0.02	0.743	N/A
hsa-let-7f-1-3p	1633-1639	7mer-m8	-0.02	 35	-0.02	0.743	N/A
hsa-miR-1284	1634-1640	7mer-m8	-0.16	 79	-0.14	0.238	N/A
hsa-miR-4704-5p	1638-1644	7mer-1A	-0.05	 74	-0.04	0.137	N/A
hsa-miR-382-3p	1651-1657	7mer-m8	-0.17	 94	-0.14	2.628	N/A
hsa-miR-548c-3p	1655-1662	8mer	-0.03	 93	-0.03	0.170	N/A
hsa-miR-6870-3p	1663-1669	7mer-1A	-0.04	 71	-0.03	0.000	N/A
hsa-miR-216a-5p	1665-1671	7mer-m8	-0.02	 39	-0.02	2.647	< 0.1
hsa-miR-433-3p	1677-1683	7mer-m8	-0.04	 65	-0.04	1.491	N/A
hsa-miR-5011-5p	1689-1695	7mer-m8	-0.02	 37	-0.02	0.000	N/A
hsa-miR-1277-5p	1690-1696	7mer-m8	-0.02	 53	-0.02	0.000	N/A
hsa-miR-3613-3p	1695-1701	7mer-m8	-0.02	 36	-0.02	0.000	N/A
hsa-miR-1283	1698-1704	7mer-m8	-0.04	 51	-0.04	0.016	N/A
hsa-miR-5195-5p	1702-1708	7mer-m8	-0.15	 80	-0.13	0.000	N/A
hsa-miR-6846-3p	1703-1710	8mer	-0.33	 95	-0.28	0.000	N/A
hsa-miR-6859-3p	1704-1710	7mer-1A	-0.08	 61	-0.07	0.000	N/A
hsa-miR-6844	1709-1715	7mer-1A	-0.02	 48	-0.02	0.000	N/A
hsa-miR-4310	1715-1722	8mer	-0.07	 86	-0.06	0.000	N/A
hsa-miR-7157-5p	1715-1722	8mer	-0.11	 85	-0.09	0.000	N/A
hsa-miR-3617-3p	1717-1723	7mer-m8	-0.12	 73	-0.10	0.031	N/A
hsa-miR-6884-3p	1720-1726	7mer-1A	-0.09	 79	-0.08	0.000	N/A
hsa-miR-7151-5p	1721-1728	8mer	-0.13	 91	-0.11	0.000	N/A
hsa-miR-154-5p	1726-1733	8mer	-0.08	 75	-0.07	1.512	N/A
hsa-miR-551b-5p	1736-1742	7mer-1A	-0.01	 49	-0.01	0.243	N/A
hsa-let-7c-3p	1747-1753	7mer-m8	-0.02	 32	-0.02	0.031	N/A
hsa-miR-4666b	1751-1757	7mer-m8	-0.11	 78	-0.09	0.000	N/A
hsa-miR-5700	1753-1759	7mer-m8	-0.02	 48	-0.02	0.000	N/A
hsa-miR-6514-3p	1763-1769	7mer-m8	-0.08	 78	-0.06	0.000	N/A
hsa-miR-214-5p	1763-1769	7mer-1A	-0.05	 71	-0.04	1.605	< 0.1
hsa-miR-6811-3p	1763-1769	7mer-1A	-0.06	 54	-0.05	0.000	N/A
hsa-miR-6882-3p	1765-1771	7mer-m8	-0.13	 74	-0.11	0.000	N/A
hsa-miR-639	1767-1773	7mer-m8	-0.32	 90	-0.27	0.000	N/A
hsa-miR-181c-3p	1771-1777	7mer-m8	-0.08	 74	-0.07	0.000	N/A
hsa-miR-6502-3p	1773-1779	7mer-m8	-0.02	 45	-0.02	0.000	N/A
hsa-miR-4786-5p	1774-1781	8mer	-0.09	 68	-0.08	0.000	N/A
hsa-miR-769-5p	1775-1781	7mer-1A	-0.06	 65	-0.05	0.175	N/A
hsa-miR-4329	1776-1783	8mer	-0.06	 78	-0.05	0.000	N/A
hsa-miR-4251	1777-1783	7mer-1A	-0.07	 73	-0.06	0.000	N/A
hsa-miR-6761-5p	1777-1783	7mer-1A	-0.02	 56	-0.02	0.159	N/A
hsa-miR-4303	1778-1784	7mer-1A	-0.01	 38	-0.01	0.000	N/A
hsa-miR-5002-5p	1778-1790	non-canonical	N/A	N/A	N/A	0.000	N/A
hsa-miR-5002-5p	1778-1790	non-canonical	N/A	N/A	N/A	0.000	N/A
hsa-miR-4762-3p	1779-1785	7mer-1A	-0.01	 35	-0.01	0.000	N/A
hsa-miR-29b-2-5p	1782-1789	8mer	-0.05	 73	-0.04	0.159	N/A
hsa-miR-659-3p	1784-1790	7mer-1A	-0.01	 37	-0.01	0.000	N/A
hsa-miR-6740-5p	1786-1792	7mer-1A	-0.14	 75	-0.12	0.000	N/A
hsa-miR-892c-3p	1788-1794	7mer-m8	-0.03	 52	-0.02	0.097	N/A
hsa-miR-4676-3p	1788-1794	7mer-m8	-0.02	 37	-0.02	0.097	N/A
hsa-miR-452-5p	1788-1794	7mer-m8	-0.02	 34	-0.02	0.097	N/A
hsa-miR-548g-3p	1790-1796	7mer-m8	-0.02	 54	-0.02	0.000	N/A
hsa-miR-2278	1796-1802	7mer-1A	-0.01	 48	-0.01	0.159	N/A
hsa-miR-6826-3p	1802-1808	7mer-1A	-0.02	 44	-0.02	0.000	N/A
hsa-miR-1236-3p	1805-1811	7mer-m8	-0.02	 44	-0.02	0.016	N/A
hsa-miR-877-3p	1806-1812	7mer-m8	-0.02	 44	-0.02	0.000	N/A
hsa-miR-2276-5p	1808-1814	7mer-1A	-0.03	 57	-0.03	0.000	N/A
hsa-miR-6892-3p	1808-1814	7mer-1A	-0.03	 52	-0.02	0.306	N/A
hsa-miR-642a-5p	1808-1814	7mer-m8	-0.02	 46	-0.02	0.043	N/A
hsa-miR-4469	1809-1816	8mer	-0.04	 76	-0.04	0.000	N/A
hsa-miR-4685-3p	1810-1816	7mer-1A	-0.11	 85	-0.09	0.137	N/A
hsa-miR-4287	1810-1816	7mer-1A	-0.05	 70	-0.04	0.137	N/A
hsa-miR-7113-3p	1810-1816	7mer-1A	-0.05	 62	-0.04	0.000	N/A
hsa-miR-6867-3p	1810-1816	7mer-m8	-0.04	 50	-0.03	0.000	N/A
hsa-miR-136-5p	1816-1822	7mer-1A	-0.03	 56	-0.03	1.316	N/A
hsa-miR-4700-3p	1826-1832	7mer-m8	-0.05	 71	-0.04	0.000	N/A
hsa-miR-6768-5p	1828-1834	7mer-m8	-0.02	 54	-0.02	0.000	N/A
hsa-miR-8064	1831-1837	7mer-1A	-0.03	 37	-0.02	0.000	N/A
hsa-miR-6890-3p	1835-1841	7mer-1A	-0.01	 43	-0.01	0.000	N/A
hsa-miR-181b-3p	1836-1842	7mer-1A	-0.03	 53	-0.03	0.000	N/A
hsa-miR-181b-2-3p	1836-1842	7mer-1A	-0.03	 53	-0.03	0.000	N/A
hsa-miR-653-3p	1836-1842	7mer-1A	-0.01	 44	-0.01	0.031	N/A
hsa-miR-4420	1836-1842	7mer-1A	-0.01	 42	-0.01	0.000	N/A
hsa-miR-6837-3p	1837-1843	7mer-m8	-0.02	 34	-0.02	0.000	N/A
hsa-miR-545-3p	1845-1851	7mer-1A	-0.01	 22	-0.01	0.031	N/A
hsa-miR-2114-3p	1850-1856	7mer-m8	-0.13	 75	-0.11	0.043	N/A
hsa-miR-6823-3p	1850-1856	7mer-m8	-0.12	 75	-0.10	0.043	N/A
hsa-miR-6501-3p	1853-1859	7mer-1A	-0.08	 77	-0.07	0.000	N/A
hsa-miR-6801-5p	1855-1861	7mer-m8	-0.04	 41	-0.04	0.000	N/A
hsa-miR-653-3p	1861-1867	7mer-m8	-0.02	 53	-0.02	0.000	N/A
hsa-miR-1304-3p	1862-1869	8mer	-0.03	 65	-0.03	0.000	N/A
hsa-miR-1285-5p	1864-1870	7mer-m8	-0.02	 71	-0.02	0.000	N/A
hsa-miR-216a-5p	1865-1872	8mer	-0.03	 45	-0.03	0.134	< 0.1
hsa-miR-216b-5p	1866-1872	7mer-1A	-0.01	 27	-0.01	0.134	< 0.1
hsa-miR-3607-3p	1870-1876	7mer-1A	-0.04	 65	-0.03	0.000	N/A
hsa-miR-3686	1870-1876	7mer-m8	-0.02	 20	-0.02	0.000	N/A
hsa-miR-6780a-3p	1873-1880	8mer	-0.08	 66	-0.07	0.000	N/A
hsa-miR-7111-3p	1874-1880	7mer-1A	-0.01	 33	-0.01	0.000	N/A
hsa-miR-6881-3p	1874-1880	7mer-1A	-0.01	 25	-0.01	0.000	N/A
hsa-miR-3679-5p	1883-1889	7mer-m8	-0.02	 17	-0.02	0.016	N/A
hsa-miR-1185-5p	1883-1889	7mer-m8	-0.02	 16	-0.02	0.016	N/A
hsa-miR-6847-5p	1885-1891	7mer-m8	-0.07	 68	-0.06	0.000	N/A
hsa-miR-2467-3p	1886-1892	7mer-m8	-0.07	 63	-0.06	0.159	N/A
hsa-miR-1910-3p	1888-1894	7mer-m8	-0.02	 49	-0.02	0.000	N/A
hsa-miR-6511a-5p	1888-1894	7mer-m8	-0.02	 38	-0.02	0.000	N/A
hsa-miR-1827	1889-1895	7mer-m8	-0.08	 59	-0.07	0.016	N/A
hsa-miR-3612	1890-1896	7mer-m8	-0.08	 60	-0.07	0.043	N/A
hsa-miR-650	1890-1896	7mer-m8	-0.07	 57	-0.06	0.043	N/A
hsa-miR-3689a-3p	1892-1898	7mer-m8	-0.18	 84	-0.15	0.338	N/A
hsa-miR-6799-5p	1892-1898	7mer-1A	-0.08	 84	-0.07	0.000	N/A
hsa-miR-3689b-3p	1892-1898	7mer-m8	-0.18	 84	-0.15	0.338	N/A
hsa-miR-3689c	1892-1898	7mer-m8	-0.18	 84	-0.15	0.338	N/A
hsa-miR-30b-3p	1892-1898	7mer-m8	-0.16	 80	-0.14	0.338	N/A
hsa-miR-6780a-5p	1892-1898	7mer-m8	-0.16	 80	-0.14	0.338	N/A
hsa-miR-1273h-5p	1892-1898	7mer-m8	-0.16	 77	-0.14	0.338	N/A
hsa-miR-6779-5p	1892-1898	7mer-m8	-0.15	 76	-0.13	0.338	N/A
hsa-miR-7106-5p	1892-1898	7mer-1A	-0.09	 72	-0.08	0.223	N/A
hsa-miR-6785-5p	1892-1898	7mer-1A	-0.06	 61	-0.05	0.000	N/A
hsa-miR-4728-5p	1892-1898	7mer-1A	-0.06	 54	-0.05	0.000	N/A
hsa-miR-6883-5p	1892-1898	7mer-1A	-0.05	 52	-0.04	0.000	N/A
hsa-miR-149-3p	1892-1898	7mer-1A	-0.05	 48	-0.04	0.000	N/A
hsa-miR-6871-5p	1893-1899	7mer-m8	-0.08	 67	-0.07	0.000	N/A
hsa-miR-6801-5p	1900-1907	8mer	-0.16	 84	-0.14	0.000	N/A
hsa-miR-323a-5p	1903-1909	7mer-m8	-0.20	 89	-0.17	0.031	N/A
hsa-miR-1293	1904-1910	7mer-m8	-0.18	 89	-0.15	0.016	N/A
hsa-miR-4483	1904-1910	7mer-m8	-0.10	 86	-0.09	0.016	N/A
hsa-miR-3154	1908-1914	7mer-m8	-0.10	 77	-0.08	0.043	N/A
hsa-miR-6770-5p	1909-1916	8mer	-0.03	 53	-0.03	0.000	N/A
hsa-miR-1253	1910-1916	7mer-1A	-0.06	 60	-0.05	0.016	N/A
hsa-miR-1-3p	1915-1921	7mer-1A	-0.05	 59	-0.04	2.319	< 0.1
hsa-miR-206	1915-1921	7mer-1A	-0.04	 52	-0.03	2.319	< 0.1
hsa-miR-613	1915-1921	7mer-1A	-0.01	 31	-0.01	2.319	< 0.1
hsa-miR-6505-5p	1916-1922	7mer-1A	-0.01	 23	-0.01	0.031	N/A
hsa-miR-1208	1921-1928	8mer	-0.03	 60	-0.03	0.016	N/A
hsa-miR-6760-3p	1922-1928	7mer-1A	-0.01	 39	-0.01	0.000	N/A
hsa-miR-1304-3p	1923-1929	7mer-m8	-0.05	 76	-0.05	0.000	N/A
hsa-miR-3680-5p	1924-1930	7mer-m8	-0.02	 35	-0.02	0.000	N/A
hsa-miR-4526	1931-1937	7mer-m8	-0.02	 50	-0.02	0.000	N/A
hsa-miR-3660	1931-1937	7mer-m8	-0.02	 34	-0.02	0.000	N/A
hsa-miR-6825-3p	1933-1939	7mer-m8	-0.12	 70	-0.10	0.000	N/A
hsa-miR-191-3p	1936-1942	7mer-m8	-0.11	 72	-0.09	0.000	N/A
hsa-miR-1539	1937-1943	7mer-m8	-0.35	 93	-0.29	0.000	N/A
hsa-miR-7844-5p	1946-1952	7mer-1A	-0.01	 49	-0.01	0.000	N/A
hsa-miR-6869-5p	1951-1957	7mer-1A	-0.05	 78	-0.04	0.000	N/A
hsa-miR-5186	1955-1961	7mer-m8	-0.06	 64	-0.05	0.000	N/A
hsa-miR-3175	1958-1964	7mer-m8	-0.13	 67	-0.11	0.000	N/A
hsa-miR-4708-3p	1963-1969	7mer-1A	-0.01	 25	-0.01	0.000	N/A
hsa-miR-3666	1965-1972	8mer	-0.08	 75	-0.07	0.351	< 0.1
hsa-miR-301a-3p	1965-1972	8mer	-0.08	 74	-0.07	0.351	< 0.1
hsa-miR-301b-3p	1965-1972	8mer	-0.08	 74	-0.07	0.351	< 0.1
hsa-miR-130b-3p	1965-1972	8mer	-0.05	 61	-0.04	0.351	< 0.1
hsa-miR-4295	1965-1972	8mer	-0.04	 58	-0.03	0.351	< 0.1
hsa-miR-130a-3p	1965-1972	8mer	-0.03	 53	-0.03	0.351	< 0.1
hsa-miR-454-3p	1965-1972	8mer	-0.03	 49	-0.03	0.351	< 0.1
hsa-miR-4671-3p	1966-1973	8mer	-0.18	 71	-0.15	0.000	N/A
hsa-miR-4473	1967-1973	7mer-1A	-0.09	 53	-0.08	0.000	N/A
hsa-miR-3591-5p	1968-1974	7mer-1A	-0.03	 51	-0.03	0.000	N/A
hsa-miR-1-5p	1973-1979	7mer-m8	-0.02	 34	-0.02	0.031	< 0.1
hsa-miR-1-5p	1982-1988	7mer-m8	-0.10	 74	-0.08	0.000	< 0.1
hsa-miR-1266-3p	1991-1997	7mer-1A	-0.03	 55	-0.03	0.000	N/A
hsa-miR-3653-5p	1993-1999	7mer-1A	-0.20	 96	-0.17	0.000	N/A
hsa-miR-1976	1993-1999	7mer-1A	-0.03	 69	-0.03	0.000	N/A
hsa-miR-5699-3p	1997-2004	8mer	-0.14	 82	-0.12	0.000	N/A
hsa-miR-4421	1997-2004	8mer	-0.13	 77	-0.11	0.000	N/A
hsa-miR-6748-3p	1998-2004	7mer-1A	-0.06	 61	-0.05	0.000	N/A
hsa-miR-7152-5p	1999-2005	7mer-m8	-0.02	 53	-0.02	0.000	N/A
hsa-miR-3667-3p	2001-2007	7mer-m8	-0.03	 51	-0.03	0.000	N/A
hsa-miR-29c-3p	2008-2014	7mer-m8	-0.06	 54	-0.05	1.536	< 0.1
hsa-miR-29a-3p	2008-2014	7mer-m8	-0.06	 53	-0.05	1.536	< 0.1
hsa-miR-29b-3p	2008-2014	7mer-m8	-0.06	 53	-0.05	1.536	< 0.1
hsa-miR-1265	2016-2022	7mer-m8	-0.05	 66	-0.04	0.016	N/A
hsa-miR-541-5p	2018-2024	7mer-1A	-0.01	 27	-0.01	0.000	N/A
hsa-miR-4477b	2019-2026	8mer	-0.03	 39	-0.03	0.000	N/A
hsa-miR-7856-5p	2020-2026	7mer-m8	-0.02	 67	-0.02	0.000	N/A
hsa-miR-548aq-5p	2046-2052	7mer-m8	-0.02	 53	-0.02	0.043	N/A
hsa-miR-559	2046-2052	7mer-m8	-0.02	 44	-0.02	0.043	N/A
hsa-miR-548as-5p	2046-2052	7mer-m8	-0.02	 43	-0.02	0.043	N/A
hsa-miR-548h-5p	2046-2052	7mer-m8	-0.02	 42	-0.02	0.043	N/A
hsa-miR-548ap-5p	2046-2052	7mer-m8	-0.02	 42	-0.02	0.043	N/A
hsa-miR-548j-5p	2046-2052	7mer-m8	-0.02	 42	-0.02	0.043	N/A
hsa-miR-548ae-5p	2046-2052	7mer-m8	-0.02	 41	-0.02	0.043	N/A
hsa-miR-548ad-5p	2046-2052	7mer-m8	-0.02	 41	-0.02	0.043	N/A
hsa-miR-548o-5p	2046-2052	7mer-m8	-0.02	 41	-0.02	0.043	N/A
hsa-miR-548bb-5p	2046-2052	7mer-m8	-0.02	 41	-0.02	0.043	N/A
hsa-miR-548ay-5p	2046-2052	7mer-m8	-0.02	 41	-0.02	0.043	N/A
hsa-miR-548ak	2046-2052	7mer-m8	-0.02	 41	-0.02	0.043	N/A
hsa-miR-548am-5p	2046-2052	7mer-m8	-0.02	 41	-0.02	0.043	N/A
hsa-miR-548c-5p	2046-2052	7mer-m8	-0.02	 41	-0.02	0.043	N/A
