miRNA,Position in the UTR,seed match,context++ score,context++ score percentile,weighted context++ score,conserved branch length,Pct
hsa-miR-7106-5p,2312-2318,7mer-1A,"-0,1",73,"-0,08",0,N/A
hsa-miR-4728-5p,2312-2318,7mer-1A,"-0,11",69,"-0,09",0,N/A
hsa-miR-6785-5p,2312-2318,7mer-1A,"-0,09",68,"-0,07",0,N/A
hsa-miR-6788-5p,2313-2319,7mer-1A,"-0,14",86,"-0,12",0,N/A
hsa-miR-30c-2-3p,2313-2319,7mer-1A,"-0,12",82,"-0,1",0,N/A
hsa-miR-30c-1-3p,2313-2319,7mer-1A,"-0,1",81,"-0,09",0,N/A
hsa-miR-887-5p,2313-2320,8mer,"-0,09",68,"-0,07",0,N/A
hsa-miR-450a-1-3p,2314-2320,7mer-1A,"-0,07",68,"-0,06",0,N/A
hsa-miR-3122,2314-2320,7mer-1A,"-0,01",41,"-0,01",0,N/A
hsa-miR-3913-5p,2314-2320,7mer-1A,"-0,01",35,"-0,01",0,N/A
hsa-miR-6513-5p,2314-2320,7mer-1A,"-0,01",25,"-0,01",0,N/A
hsa-miR-383-3p,2320-2326,7mer-m8,"-0,02",34,"-0,02",0,N/A
hsa-miR-7977,2323-2329,7mer-m8,"-0,05",68,"-0,04",0,N/A
hsa-miR-4284,2338-2345,8mer,"-0,03",65,"-0,03",0,N/A
hsa-miR-24-3p,2339-2345,7mer-1A,"-0,01",25,"-0,01","0,052",< 0.1
hsa-miR-4746-3p,2344-2350,7mer-1A,"-0,08",51,"-0,07",0,N/A
hsa-miR-675-5p,2346-2352,7mer-m8,"-0,25",72,"-0,22",0,N/A
hsa-miR-4466,2346-2352,7mer-m8,"-0,19",70,"-0,16",0,N/A
hsa-miR-4493,2354-2361,8mer,"-0,23",91,"-0,19",0,N/A
hsa-miR-6126,2355-2361,7mer-m8,"-0,1",86,"-0,09",0,N/A
hsa-miR-605-3p,2355-2361,7mer-1A,"-0,09",59,"-0,08",0,N/A
hsa-miR-1257,2360-2366,7mer-m8,"-0,12",74,"-0,1",0,N/A
hsa-miR-3609,2363-2369,7mer-m8,"-0,07",81,"-0,06",0,N/A
hsa-miR-548ah-5p,2363-2369,7mer-m8,"-0,07",81,"-0,06",0,N/A
hsa-miR-3133,2368-2374,7mer-1A,"-0,01",63,"-0,01",0,N/A
hsa-miR-186-5p,2368-2374,7mer-1A,"-0,01",59,"-0,01","2,161",N/A
hsa-miR-650,2377-2384,8mer,"-0,46",99,"-0,4","0,054",N/A
hsa-miR-3612,2377-2384,8mer,"-0,51",99,"-0,44","0,054",N/A
hsa-miR-4443,2378-2385,8mer,"-0,49",99,"-0,42",0,N/A
hsa-miR-6515-5p,2379-2385,7mer-1A,"-0,19",84,"-0,16",0,N/A
hsa-miR-432-5p,2380-2386,7mer-m8,"-0,2",91,"-0,17","0,054",N/A
hsa-miR-890,2381-2387,7mer-m8,"-0,2",92,"-0,17","0,054",N/A
hsa-miR-6888-5p,2395-2401,7mer-1A,"-0,14",92,"-0,12",0,N/A
hsa-miR-610,2400-2406,7mer-1A,"-0,11",65,"-0,1","0,013",N/A
hsa-miR-556-5p,2401-2408,8mer,"-0,3",97,"-0,26",0,N/A
hsa-miR-6888-5p,2408-2414,7mer-m8,"-0,14",91,"-0,12",0,N/A
hsa-miR-4428,2409-2415,7mer-m8,"-0,07",67,"-0,06","0,013",N/A
hsa-miR-6830-5p,2411-2417,7mer-1A,"-0,08",70,"-0,07",0,N/A
hsa-miR-561-5p,2411-2417,7mer-m8,"-0,05",46,"-0,04",0,N/A
hsa-miR-5589-3p,2417-2423,7mer-1A,"-0,01",17,"-0,01",0,N/A
hsa-miR-4469,2425-2431,7mer-m8,"-0,06",79,"-0,05",0,N/A
hsa-miR-7106-3p,2426-2433,8mer,"-0,27",93,"-0,23",0,N/A
hsa-miR-1825,2431-2437,7mer-m8,"-0,19",91,"-0,17","0,013",N/A
hsa-miR-3130-5p,2433-2439,7mer-m8,"-0,12",88,"-0,11",0,N/A
hsa-miR-4482-5p,2433-2439,7mer-m8,"-0,11",86,"-0,1",0,N/A
hsa-miR-3684,2437-2443,7mer-1A,"-0,09",57,"-0,08",0,N/A
hsa-miR-3943,2449-2455,7mer-m8,"-0,29",94,"-0,25","0,013",N/A
hsa-miR-5685,2451-2457,7mer-1A,"-0,15",87,"-0,13",0,N/A
hsa-miR-4690-3p,2451-2457,7mer-1A,"-0,05",72,"-0,04",0,N/A
hsa-miR-6787-3p,2453-2459,7mer-1A,"-0,01",41,"-0,01",0,N/A
hsa-miR-4724-3p,2458-2465,8mer,"-0,16",92,"-0,13",0,N/A
hsa-miR-1248,2464-2470,7mer-m8,"-0,12",85,"-0,1","0,013",N/A
hsa-miR-6790-3p,2472-2478,7mer-1A,"-0,15",85,"-0,13",0,N/A
hsa-miR-6821-3p,2472-2478,7mer-1A,"-0,11",78,"-0,1",0,N/A
hsa-miR-548ar-3p,2477-2483,7mer-m8,"-0,02",61,"-0,02","0,013",N/A
hsa-miR-548a-3p,2477-2483,7mer-m8,"-0,02",60,"-0,02","0,013",N/A
hsa-miR-548az-3p,2477-2483,7mer-m8,"-0,02",59,"-0,02","0,013",N/A
hsa-miR-548f-3p,2477-2483,7mer-m8,"-0,02",59,"-0,02","0,013",N/A
hsa-miR-548e-3p,2477-2483,7mer-m8,"-0,02",59,"-0,02","0,013",N/A
hsa-miR-548ae-3p,2478-2484,7mer-m8,"-0,02",67,"-0,02","0,048",N/A
hsa-miR-548x-3p,2478-2484,7mer-m8,"-0,02",67,"-0,02","0,048",N/A
hsa-miR-548aq-3p,2478-2484,7mer-m8,"-0,02",67,"-0,02","0,048",N/A
hsa-miR-548ah-3p,2478-2484,7mer-m8,"-0,02",67,"-0,02","0,048",N/A
hsa-miR-548j-3p,2478-2484,7mer-m8,"-0,02",67,"-0,02","0,048",N/A
hsa-miR-548aj-3p,2478-2484,7mer-m8,"-0,02",67,"-0,02","0,048",N/A
hsa-miR-548am-3p,2478-2484,7mer-m8,"-0,02",67,"-0,02","0,048",N/A
hsa-miR-3148,2480-2486,7mer-m8,"-0,02",38,"-0,02",0,N/A
hsa-miR-4668-5p,2481-2488,8mer,"-0,03",38,"-0,03",0,N/A
hsa-miR-6733-5p,2482-2488,7mer-1A,"-0,05",65,"-0,04",0,N/A
hsa-miR-3153,2482-2488,7mer-1A,"-0,01",40,"-0,01",0,N/A
hsa-miR-6739-5p,2482-2488,7mer-1A,"-0,02",38,"-0,01",0,N/A
hsa-miR-4646-5p,2483-2489,7mer-m8,"-0,1",83,"-0,09","0,27",N/A
hsa-miR-204-3p,2483-2489,7mer-m8,"-0,04",75,"-0,04","0,27",N/A
hsa-miR-6783-3p,2485-2491,7mer-m8,"-0,19",89,"-0,16",0,N/A
hsa-miR-1343-3p,2485-2491,7mer-m8,"-0,17",88,"-0,15",0,N/A
hsa-miR-6742-3p,2485-2491,7mer-1A,"-0,12",88,"-0,11",0,N/A
hsa-miR-6852-5p,2485-2491,7mer-1A,"-0,13",82,"-0,11",0,N/A
hsa-miR-939-3p,2485-2491,7mer-1A,"-0,09",73,"-0,08",0,N/A
hsa-miR-3117-3p,2491-2498,8mer,"-0,27",90,"-0,23","0,013",N/A
hsa-miR-4759,2491-2497,7mer-1A,"-0,14",83,"-0,12",0,N/A
hsa-miR-8083,2491-2497,7mer-1A,"-0,08",76,"-0,07",0,N/A
hsa-miR-3169,2491-2497,7mer-1A,"-0,08",68,"-0,07",0,N/A
hsa-miR-651-5p,2493-2499,7mer-1A,"-0,03",55,"-0,03","0,013",N/A
hsa-miR-548ba,2509-2515,7mer-1A,"-0,17",88,"-0,14",0,N/A
hsa-miR-548ai,2509-2515,7mer-1A,"-0,14",84,"-0,12",0,N/A
hsa-miR-570-5p,2509-2515,7mer-1A,"-0,14",84,"-0,12",0,N/A
hsa-miR-548ag,2509-2515,7mer-1A,"-0,12",80,"-0,1",0,N/A
hsa-miR-6865-3p,2520-2526,7mer-m8,"-0,22",91,"-0,19",0,N/A
hsa-miR-188-3p,2525-2531,7mer-m8,"-0,11",69,"-0,09",0,N/A
hsa-miR-532-3p,2526-2533,8mer,"-0,32",98,"-0,27","0,942",N/A
hsa-miR-4713-5p,2527-2534,8mer,"-0,25",94,"-0,22",0,N/A
hsa-miR-150-5p,2527-2533,7mer-1A,"-0,12",91,"-0,1","1,076",< 0.1
hsa-miR-2116-3p,2527-2533,7mer-1A,"-0,09",87,"-0,08",0,N/A
hsa-miR-629-3p,2528-2535,8mer,"-0,12",91,"-0,11",0,N/A
hsa-miR-6867-3p,2528-2534,7mer-1A,"-0,18",89,"-0,16",0,N/A
hsa-miR-425-5p,2538-2545,8mer,"-0,26",97,"-0,22","0,032",< 0.1
hsa-miR-589-3p,2546-2552,7mer-1A,"-0,09",78,"-0,08",0,N/A
hsa-miR-3942-3p,2548-2554,7mer-1A,"-0,01",34,"-0,01",0,N/A
hsa-miR-30e-3p,2549-2555,7mer-1A,"-0,07",83,"-0,06","0,054",N/A
hsa-miR-30a-3p,2549-2555,7mer-1A,"-0,07",83,"-0,06","0,054",N/A
hsa-miR-30d-3p,2549-2555,7mer-1A,"-0,07",83,"-0,06","0,054",N/A
hsa-miR-5089-3p,2561-2567,7mer-m8,"-0,11",68,"-0,1",0,N/A
hsa-miR-3977,2568-2574,7mer-m8,"-0,02",39,"-0,02",0,N/A
hsa-miR-3907,2571-2577,7mer-1A,"-0,14",77,"-0,12",0,N/A
hsa-miR-548q,2572-2579,8mer,"-0,28",97,"-0,24",0,N/A
hsa-miR-4299,2573-2579,7mer-1A,"-0,08",76,"-0,07",0,N/A
hsa-miR-4456,2573-2579,7mer-1A,"-0,11",73,"-0,1",0,N/A
hsa-miR-7978,2573-2579,7mer-1A,"-0,06",70,"-0,06",0,N/A
hsa-miR-4524b-3p,2580-2586,7mer-m8,"-0,15",95,"-0,13",0,N/A
hsa-miR-4524a-3p,2581-2588,8mer,"-0,16",83,"-0,14","0,013",N/A
hsa-miR-651-3p,2589-2595,7mer-1A,"-0,09",88,"-0,08",0,N/A
hsa-miR-3664-5p,2616-2622,7mer-m8,"-0,19",94,"-0,16",0,N/A
hsa-miR-6715b-3p,2621-2627,7mer-1A,"-0,07",83,"-0,06",0,N/A
hsa-miR-607,2622-2628,7mer-1A,"-0,01",40,"-0,01",0,N/A
hsa-miR-1305,2623-2629,7mer-1A,"-0,01",49,"-0,01",0,N/A
hsa-miR-335-3p,2624-2630,7mer-1A,"-0,01",40,"-0,01","0,048",N/A
hsa-miR-195-3p,2629-2635,7mer-m8,"-0,03",61,"-0,03",0,N/A
hsa-miR-16-2-3p,2629-2635,7mer-m8,"-0,03",60,"-0,03",0,N/A
hsa-miR-548ap-3p,2634-2641,8mer,"-0,2",97,"-0,18",0,N/A
hsa-miR-548aa,2634-2641,8mer,"-0,2",97,"-0,18",0,N/A
hsa-miR-548t-3p,2634-2641,8mer,"-0,2",97,"-0,18",0,N/A
hsa-miR-548ay-3p,2635-2641,7mer-1A,"-0,11",93,"-0,09",0,N/A
hsa-miR-548at-3p,2635-2641,7mer-1A,"-0,11",93,"-0,09",0,N/A
hsa-miR-548as-3p,2635-2641,7mer-1A,"-0,05",82,"-0,05",0,N/A
hsa-miR-7853-5p,2643-2649,7mer-1A,"-0,01",48,"-0,01","0,054",N/A
hsa-miR-105-5p,2643-2649,7mer-1A,"-0,01",48,"-0,01","0,054",N/A
hsa-miR-5093,2651-2657,7mer-1A,"-0,08",76,"-0,07",0,N/A
hsa-miR-3688-3p,2652-2658,7mer-m8,"-0,08",78,"-0,07","0,363",N/A
hsa-miR-3622b-5p,2655-2661,7mer-m8,"-0,32",96,"-0,28",0,N/A
hsa-miR-4742-5p,2658-2664,7mer-1A,"-0,21",95,"-0,18","0,013",N/A
hsa-miR-4692,2658-2664,7mer-1A,"-0,2",93,"-0,17",0,N/A
hsa-miR-4514,2658-2664,7mer-1A,"-0,18",90,"-0,15",0,N/A
hsa-miR-6715b-5p,2658-2664,7mer-1A,"-0,1",84,"-0,09",0,N/A
hsa-miR-4269,2658-2664,7mer-1A,"-0,04",79,"-0,03",0,N/A
hsa-miR-5702,2661-2667,7mer-m8,"-0,15",80,"-0,13",0,N/A
hsa-miR-4740-3p,2665-2671,7mer-1A,"-0,22",93,"-0,19",0,N/A
hsa-miR-4446-5p,2668-2674,7mer-1A,"-0,03",59,"-0,03",0,N/A
hsa-miR-3121-3p,2694-2700,7mer-m8,"-0,05",79,"-0,04","0,013",N/A
hsa-miR-31-5p,2701-2707,7mer-m8,"-0,23",89,"-0,2","0,359",< 0.1
hsa-miR-648,2704-2715,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-648,2704-2715,non-canonical,N/A,N/A,N/A,0,N/A
hsa-miR-6836-5p,2705-2712,8mer,"-0,43",98,"-0,37","0,054",N/A
hsa-miR-6132,2705-2712,8mer,"-0,44",98,"-0,38","0,054",N/A
hsa-miR-6722-3p,2706-2712,7mer-1A,"-0,11",68,"-0,09",0,N/A
hsa-miR-1909-3p,2706-2712,7mer-1A,"-0,11",66,"-0,09",0,N/A
hsa-miR-143-5p,2708-2714,7mer-1A,"-0,05",77,"-0,04","0,417",N/A
hsa-miR-3944-5p,2708-2714,7mer-1A,"-0,04",61,"-0,03","0,27",N/A
hsa-miR-5008-3p,2710-2716,7mer-1A,"-0,13",82,"-0,11","0,376",N/A
hsa-miR-7157-3p,2710-2716,7mer-1A,"-0,07",69,"-0,06","0,376",N/A
hsa-miR-6737-3p,2710-2716,7mer-1A,"-0,05",61,"-0,04","0,376",N/A
hsa-miR-6889-3p,2710-2716,7mer-1A,"-0,04",55,"-0,03","0,245",N/A
hsa-miR-6753-3p,2712-2718,7mer-m8,"-0,14",80,"-0,12",0,N/A
hsa-miR-7107-3p,2712-2718,7mer-m8,"-0,12",76,"-0,1",0,N/A
hsa-miR-1182,2714-2721,8mer,"-0,26",96,"-0,22","0,013",N/A
hsa-miR-1178-5p,2715-2721,7mer-1A,"-0,24",91,"-0,21",0,N/A
hsa-miR-6753-5p,2722-2728,7mer-1A,"-0,18",84,"-0,16",0,N/A
hsa-miR-1911-3p,2722-2728,7mer-1A,"-0,17",83,"-0,14",0,N/A
hsa-miR-3121-3p,2735-2741,7mer-m8,"-0,03",73,"-0,03","0,013",N/A
hsa-miR-610,2743-2750,8mer,"-0,32",97,"-0,27","0,013",N/A
hsa-miR-8055,2746-2752,7mer-m8,"-0,16",95,"-0,14",0,N/A
hsa-miR-568,2758-2764,7mer-1A,"-0,03",41,"-0,03","0,054",N/A
hsa-miR-660-5p,2763-2769,7mer-m8,"-0,13",79,"-0,11","0,054",N/A
hsa-miR-1273d,2764-2770,7mer-m8,"-0,02",55,"-0,02",0,N/A
hsa-miR-4742-5p,2769-2775,7mer-m8,"-0,05",66,"-0,04","0,013",N/A
hsa-miR-4645-5p,2770-2776,7mer-m8,"-0,17",91,"-0,14","0,048",N/A
hsa-miR-4673,2770-2776,7mer-m8,"-0,14",88,"-0,12","0,048",N/A
hsa-miR-1911-3p,2771-2778,8mer,"-0,39",98,"-0,33",0,N/A
hsa-miR-6753-5p,2772-2778,7mer-1A,"-0,09",67,"-0,07",0,N/A
hsa-miR-6719-3p,2778-2784,7mer-m8,"-0,05",66,"-0,04",0,N/A
hsa-miR-6735-5p,2785-2791,7mer-m8,"-0,14",77,"-0,12","0,363",N/A
hsa-miR-4632-5p,2785-2791,7mer-m8,"-0,06",70,"-0,05","0,363",N/A
hsa-miR-4436b-3p,2785-2791,7mer-m8,"-0,1",70,"-0,09","0,363",N/A
hsa-miR-7843-5p,2785-2791,7mer-m8,"-0,06",68,"-0,05","0,363",N/A
hsa-miR-6879-5p,2785-2791,7mer-m8,"-0,09",67,"-0,08","0,363",N/A
hsa-miR-3616-3p,2786-2793,8mer,"-0,27",90,"-0,23",0,N/A
hsa-miR-1226-5p,2787-2793,7mer-m8,"-0,11",80,"-0,09",0,N/A
hsa-miR-4721,2787-2793,7mer-1A,"-0,14",74,"-0,12",0,N/A
hsa-miR-5586-3p,2791-2797,7mer-m8,"-0,08",72,"-0,07",0,N/A
hsa-miR-4731-3p,2796-2803,8mer,"-0,18",96,"-0,15",0,N/A
hsa-miR-4801,2796-2803,8mer,"-0,16",94,"-0,13",0,N/A
hsa-miR-4672,2798-2804,7mer-1A,"-0,12",86,"-0,11",0,N/A
hsa-miR-466,2798-2804,7mer-1A,"-0,09",82,"-0,08",0,N/A
hsa-miR-3941,2798-2804,7mer-1A,"-0,05",74,"-0,04",0,N/A
hsa-miR-6504-3p,2800-2806,7mer-1A,"-0,01",37,"-0,01",0,N/A
hsa-miR-4482-3p,2803-2810,8mer,"-0,06",83,"-0,05",0,N/A
hsa-miR-7159-3p,2804-2810,7mer-1A,"-0,01",53,"-0,01",0,N/A
hsa-miR-1277-5p,2810-2816,7mer-m8,"-0,02",53,"-0,02",0,N/A
hsa-miR-3128,2815-2821,7mer-m8,"-0,16",87,"-0,14",0,N/A
hsa-miR-221-5p,2816-2822,7mer-m8,"-0,21",93,"-0,18",0,N/A
hsa-miR-8073,2816-2822,7mer-m8,"-0,18",89,"-0,16",0,N/A
hsa-miR-6849-3p,2820-2826,7mer-m8,"-0,03",47,"-0,02",0,N/A
hsa-miR-2355-5p,2823-2829,7mer-m8,"-0,07",63,"-0,06",0,N/A
hsa-miR-6792-3p,2832-2838,7mer-m8,"-0,08",61,"-0,07",0,N/A
hsa-miR-4691-5p,2832-2838,7mer-m8,"-0,02",33,"-0,02",0,N/A
hsa-miR-4279,2834-2840,7mer-m8,"-0,06",76,"-0,05",0,N/A
hsa-miR-766-5p,2850-2856,7mer-m8,"-0,05",43,"-0,04","0,363",N/A
hsa-miR-7106-5p,2851-2857,7mer-m8,"-0,13",82,"-0,11","0,363",N/A
hsa-miR-1321,2852-2858,7mer-m8,"-0,15",79,"-0,13","0,568",N/A
hsa-miR-4756-5p,2852-2858,7mer-m8,"-0,15",79,"-0,13","0,568",N/A
hsa-miR-4739,2852-2858,7mer-m8,"-0,14",76,"-0,12","0,568",N/A
hsa-miR-6129,2853-2859,7mer-m8,"-0,11",66,"-0,1","0,395",N/A
hsa-miR-6130,2853-2859,7mer-m8,"-0,11",66,"-0,1","0,395",N/A
hsa-miR-4510,2853-2859,7mer-m8,"-0,11",65,"-0,1","0,395",N/A
hsa-miR-6133,2853-2859,7mer-m8,"-0,1",62,"-0,09","0,395",N/A
hsa-miR-4419a,2853-2859,7mer-m8,"-0,1",62,"-0,09","0,395",N/A
hsa-miR-6127,2853-2859,7mer-m8,"-0,09",59,"-0,08","0,395",N/A
hsa-miR-1249-5p,2854-2860,7mer-m8,"-0,14",74,"-0,12","0,389",N/A
hsa-miR-6797-5p,2854-2860,7mer-m8,"-0,12",69,"-0,11","0,389",N/A
hsa-miR-4779,2855-2861,7mer-m8,"-0,14",83,"-0,12",0,N/A
hsa-miR-765,2857-2863,7mer-m8,"-0,18",82,"-0,16","0,393",N/A
hsa-miR-4459,2859-2865,7mer-m8,"-0,22",95,"-0,19",0,N/A
hsa-miR-196a-3p,2864-2871,8mer,"-0,09",56,"-0,08",0,N/A
hsa-miR-3128,2866-2872,7mer-m8,"-0,02",28,"-0,02","0,363",N/A
hsa-miR-8073,2867-2873,7mer-m8,"-0,12",78,"-0,1","0,443",N/A
hsa-miR-221-5p,2867-2873,7mer-m8,"-0,06",60,"-0,05","0,443",N/A
hsa-miR-6856-5p,2874-2880,7mer-m8,"-0,06",71,"-0,05",0,N/A
hsa-miR-6758-5p,2874-2880,7mer-m8,"-0,06",70,"-0,05",0,N/A
hsa-miR-3678-3p,2877-2883,7mer-m8,"-0,09",74,"-0,08",0,N/A
hsa-miR-2467-3p,2877-2883,7mer-1A,"-0,07",63,"-0,06",0,N/A
hsa-miR-192-3p,2883-2889,7mer-m8,"-0,08",74,"-0,07",0,N/A
hsa-miR-548ah-5p,2888-2894,7mer-1A,"-0,11",89,"-0,09",0,N/A
hsa-miR-3609,2888-2894,7mer-1A,"-0,07",81,"-0,06",0,N/A
hsa-miR-4796-3p,2888-2894,7mer-1A,"-0,01",52,"-0,01",0,N/A
hsa-miR-488-3p,2896-2902,7mer-m8,"-0,14",90,"-0,12","0,058",N/A
hsa-miR-6730-5p,2896-2902,7mer-1A,"-0,13",89,"-0,12",0,N/A
hsa-miR-5681a,2896-2902,7mer-1A,"-0,15",87,"-0,13",0,N/A
hsa-miR-4766-5p,2897-2903,7mer-m8,"-0,13",94,"-0,11",0,N/A
hsa-miR-3646,2923-2929,7mer-m8,"-0,02",48,"-0,02",0,N/A
hsa-miR-4719,2926-2933,8mer,"-0,03",75,"-0,03",0,N/A
hsa-miR-622,2933-2939,7mer-1A,"-0,1",77,"-0,09","0,054",N/A
hsa-miR-499b-3p,2937-2943,7mer-1A,"-0,02",50,"-0,01","0,399",N/A
hsa-miR-499a-3p,2937-2943,7mer-1A,"-0,02",50,"-0,01","0,399",N/A
hsa-miR-5701,2944-2950,7mer-1A,"-0,02",56,"-0,01",0,N/A
hsa-miR-4699-5p,2956-2962,7mer-m8,"-0,09",77,"-0,08",0,N/A
hsa-miR-6780b-5p,2959-2965,7mer-m8,"-0,34",96,"-0,29",0,N/A
hsa-miR-4725-3p,2959-2965,7mer-m8,"-0,35",96,"-0,3",0,N/A
hsa-miR-4271,2959-2965,7mer-m8,"-0,23",93,"-0,2",0,N/A
hsa-miR-6783-5p,2960-2966,7mer-m8,"-0,21",89,"-0,18",0,N/A
